Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village)
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,INSTALLATION OF SOLAR WATER HEATING SYSTEM CONSERVATION OF NATURAL RESOURCES,,SCHEDULE VII (IV),16.0,16.0,,8.0,,8.0,PUNJAB (PATIALA)
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,MAINTENANCE OF A PUBLIC GARDEN IN CHEMBUR. HEALTH AND FAMILY WELFARE,,SCHEDULE VII (IV),18.0,18.0,RCF ALONG WITH CHEMBUR CITIZEN FORUM,9.0,,9.0,"MAHARASHTRA (CHEMBUR, MUMBAI)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,"PRINTING AND DISTRIBUTION OF FREE FAMERS BOOKLET WHICH PROVIDES INFORMATION ABOUT USE OF BALANCED FERTILIZER AND TO HAVE BALANCED SOIL NUTRITION MAINTAINING QUALITY OF SOIL, AIR, AND WATER AND ENSURING ECOLOGICAL BALANCE",,SCHEDULE VII (IV),43.0,45.58,,45.58,,,MAHARASHTRA (VARIOUS VILLAGES & DIST.S IN MAHARASHTRA)
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,PROVIDING AIDS AND APPLIANCES TO DIFFERENTLY ABLE PERSONS BELONGING TO UNDERPRIVILEGED SECTION OF SOCIETY HEALTH AND FAMILY WELFARE,,SCHEDULE VII (I),10.0,9.42,RCF IN ASSOCIATION WITH ARTIFICIAL LIMB MANUFACTURING CO.,4.71,,4.71,"MAHARASHTRA (AZAD NAGAR, MUMBAI,BHARAT NAGAR, MUMBAI,DOSTI ACRES & ADJOINING AREAS OF TROMBAY, MUMBAI,GADKARI KHAN,KHADI MACHINE, MUMBAI,MUMBAI,NAGABABA NAGAR, MUMBAI,PANJARAPOLE,SHANKAR DEUL, MUMBAI,VADVALI GAON, MUMBAI,VASHI GAON, MUMBAI,VISHNU NAG"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,PROVIDING EDUCATION RECREATIONAL TRAINING TO BOYS AND GIRLS FROM SLUMS OF TROMBAY THEREBY TEACHING BASICS OF HYGIENE ETHICS MANNERS ETC.,,SCHEDULE VII (II),15.0,15.0,,,WOCKHARDT FOUNDATION,15.0,"MAHARASHTRA (AZAD NAGAR, MUMBAI,BHARAT NAGAR, MUMBAI,DOSTI ACRES & ADJOINING AREAS OF TROMBAY, MUMBAI,GADKARI KHAN,KHADI MACHINE, MUMBAI,MUMBAI,NAGABABA NAGAR, MUMBAI,PANJARAPOLE,SHANKAR DEUL, MUMBAI,VADVALI GAON, MUMBAI,VASHI GAON, MUMBAI,VISHNU NAG"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,PROVIDING FURNITURE/ ACCESSORIES AND SCHOLARSHIPS TO SCHOOLS AND UNDERPRIVILEGED CHILDREN.,,SCHEDULE VII (II),5.0,6.08,,6.08,,,"MAHARASHTRA (THAL, RAIGAD DIST., MUMBAI)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,PROVIDING MEDICAL FACILITIES THRU. MOBILE MEDICAL VAN,,SCHEDULE VII (I),104.0,100.07,,,WOCKHARDT FOUNDATION,100.07,"MAHARASHTRA (AZAD NAGAR, MUMBAI,BHARAT NAGAR, MUMBAI,DOSTI ACRES & ADJOINING AREAS OF TROMBAY, MUMBAI,GADKARI KHAN,KHADI MACHINE, MUMBAI,MUMBAI,NAGABABA NAGAR, MUMBAI,PANJARAPOLE,SHANKAR DEUL, MUMBAI,VADVALI GAON, MUMBAI,VASHI GAON, MUMBAI,VILLAGES O"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,"PROVIDING SCHOLARSHIP TO SC/ ST STUDENTS OF TRIBAL VILLAGES FOR EDUCATION IN ANNUAL BATCHES OF 10 FROM 5TH, TILL THEY REACH 12TH STD. REDUCING INEQUALITIES FACED BY SOCIALLY AND ECONOMICALLY BACKWARD GROUPS AND PROMOTING EDUCATION",,SCHEDULE VII (II),10.0,9.34,RCF IN ASSOCIATION SHIVAJI PREPARATORY MILITARY SCHOOL,4.67,,4.67,"MAHARASHTRA (SHIVAJI MILITARY SCHOOL, PUNE)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,REPAIRS UNDERTAKEN AND PROVIDING LIGHTS AT LOCAL SCHOOL (JAWAHAR VIDHYA BHAVAN) WHICH IMPARTS EDUCATION TO UNDER PRIVILEGED CHILDREN OF SLUMS OF TROMBAY.,,SCHEDULE VII (II),5.0,4.28,,4.28,,,"MAHARASHTRA (CHEMBUR FOR UNDERPRIVILEGED CHILDREN OF SLUMS OF TROMBAY, MUMBAI)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,REPAIRS UNDERTAKEN AT LOCAL SCHOOL (SAVITRIBAI PHULE SCHOOL) WHICH IMPARTS EDUCATION TO UNDER PRIVILEGED CHILDREN OF SLUMS OF TROMBAY.,,SCHEDULE VII (II),7.0,6.81,,6.81,,,"MAHARASHTRA (CHEMBUR, MUMBAI,TROMBAY)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,"RUNNING OF PATHOLOGY LAB, CHEMBUR",,SCHEDULE VII (I),10.5,10.5,,,WOCKHARDT FOUNDATION,10.5,"MAHARASHTRA (CEMBUR AREA, MUMBAI)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,SUPPLY OF MID-DAY MEAL HEALTH AND FAMILY WELFARE,,SCHEDULE VII (I),160.0,161.76,,,ISKCON FOOD RELIEF FOUNDATION,161.76,"MAHARASHTRA (AZAD NAGAR, MUMBAI,BHARAT NAGAR, MUMBAI,DOSTI ACRES & ADJOINING AREAS OF TROMBAY, MUMBAI,GADKARI KHAN,KHADI MACHINE, MUMBAI,NAGABABA NAGAR, MUMBAI,PANJARAPOLE,SHANKAR DEUL, MUMBAI,VADVALI GAON, MUMBAI,VASHI GAON, MUMBAI,VISHNU NAGAR, MUM"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,SUPPLY OF SAFE DRINKING WATER TO NEARBY VILLAGES RURAL WELFARE & COMMUNITY DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (X)",125.0,124.55,RCF IN ASSOCIATION WITH MIDC,62.275,,62.275,"MAHARASHTRA (BHAL, RAIGAD DIST.,BORIS,GUNJIS,NAVGAON,THAL,TUDAL,VAISHET)"
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.,UNDERTAKING SOIL TESTING ANALYSIS AND SENDING SOIL TESTING REPORTS TO FARMERS DIRECTLY FOR PROVIDING INFORMATION ABOUT SOIL HEALTH AND BALANCED SOIL NUTRITION,,SCHEDULE VII (IV),25.0,23.82,,23.82,,,"ANDHRA PRADESH (VIJAYAWADA),CHHATTISGARH (RAIPUR),KARNATAKA (HASSAN,KOLAR),MAHARASHTRA (AHMEDNAGAR,KOLHAPUR,NAGPUR,NANDED,SATARA),ODISHA (CHNDIKHOLE),TELANGANA (SURYAPET)"
RATNAMANI,RATNAMANI METALS & TUBES LTD.,EDUCATION OF CHILDREN IN RURAL AREA ADOPTION OF LILAPUR SCHOOL,,SCHEDULE VII (II),10.0,10.0,,,YUVA UNSTOPPABLE,10.0,GUJARAT (LILAPUR)
RATNAMANI,RATNAMANI METALS & TUBES LTD.,EDUCATION OF CHILDREN IN RURAL AREA NENANVA GOVT. SCHOOL,,SCHEDULE VII (II),7.46,7.46,,,,7.46,GUJARAT (NENAVA)
RATNAMANI,RATNAMANI METALS & TUBES LTD.,EDUCATION OF CHILDREN IN RURAL AREA SHREE MAHAVIR EDUCATION TRUST FOR CONSTRUCTION OF SCHOOL BUILDING,,SCHEDULE VII (II),140.0,140.0,,,"SHREE MAHAVIR EDUCATION TRUST, BECHRAJI",140.0,GUJARAT (BECHARAJI)
RAYMOND,RAYMOND LTD.,"LIVESTOCK DEVELOPMENT LAND RECLAMATION AND LAND NUTRITION IMPROVEMENT, COMMUNITY IRRIGATION, WATER CONSERVATION WOMEN EMPOWERMENT AND TRAINING RURAL DEVELOPMENT",,"SCHEDULE VII (III), SCHEDULE VII (IV), SCHEDULE VII (X)",53.0,53.0,,26.5,,26.5,"CHHATTISGARH (DURG,JANJGIR,JASHPUR,KAWARDHA,RAIGARH,RAJNANDGAON),MADHYA PRADESH (PANNA,REWA,SATNA,SIDHI),MAHARASHTRA (AURANGABAD,JALGAON,NASHIK,YAVATMAL)"
RECLTD,REC LTD.,"CONSTRUCTION OF 234 TOILETS, MID DAY MEAL SHED AND 5 HAND PUMPS UNITS WITH SENSITIZATION AND AWARENESS CREATION, SANITATION FACILITIES IN 3 SCHOOLS OF BIHAR, SETTING UP OF SANITATION FACILITIES IN GOVERNMENT SCHOOLS UNDER SWACHH VIDYALAYA ABHIYAAN, BY THE CENTRAL GOVERMENT WATER, SANITATION AND HYGIENE IN SCHOOLS FOR IMPROVING HEALTH & EDUCATION OUTCOMES. MAKING AVAIBLE SAFE DRINKING.",,"SCHEDULE VII (I), SCHEDULE VII (II)",19049.26,2086.78,,,,2086.783,"BIHAR (BEGUSARAI,BHAGALPUR,GAYA,GOPALGANJ,JAMUI,KISHANGANJ,MADHEPURA,MUZAFFARPUR,MUZAFFARPUR & VAISHALI,NALANDA,PATNA,SHEKPURA),DELHI (NAWADA),MADHYA PRADESH (DHAR,JHABUA,RATLAM & VIDISHA),PUNJAB (GURDASPUR & PATHANKOT),RAJASTHAN (AJMER,BHARATPUR,JODHPUR & UDAIPUR),TELANGANA (ADILABAD,KHAMMAM,NALGONDA,RANGA REDDY,WARANGAL & MAHABUBNAGAR),TRIPURA (UNAKOTI),UTTAR PRADESH (BALLIA, JALAUN,BARABANKI)"
RECLTD,REC LTD.,"CONSTRUCTION OF GIRLS HOSTEL IN THDC INSTITUTE OF HYDRO POWER ENGINEERING & TECHNOLOGY, TEHRI, CONSTRUCTION OF OLD AGE HOME FOR ELDERLY WIDOWS, PROVIDING HEALTH CARE PACKAGE TO ELDERLY PERSONS STAYING AT OLD AGE HOMES PROMOTING GENDER EQUALITY, EMPOWERING WOMEN, SETTING UP HOMES AND HOSTELS FOR WOMEN AND ORPHANS; SETTING UP OLD AGE HOMES, DAY CARE CENTRES AND SUCH OTHER FACILITIES FOR SENIOR CITIZENS AND MEASURES FOR REDUCING INEQUALITIES FACED BY SOCIALLY AND ECONOMICALLY BACKWARD GROUPS.",,SCHEDULE VII (III),145.49,305.87,,,,305.869,"CHHATTISGARH,GOA,GUJARAT,HARYANA,JHARKHAND,KERALA,MAHARASHTRA,TAMIL NADU,TELANGANA,UTTAR PRADESH (MATHURA,VRINDAVAN),UTTARAKHAND,WEST BENGAL"
RECLTD,REC LTD.,"IMPLEMENTATION OF SOLAR PV SMART MINI GRIDS IN 5 OFF-GRID LOCATIONS IN DHENKENAL, ODISHA, PROVIDING OF 4000 SOLAR-LANTERNS AND INSTALLATION OF 100 MOBILE-CHARGING SOLAR STATIONS IN NATURAL CALAMITY-STRUCK RUDRAPRAYAG IN UTTARAKHAND, SETTING UP INNOVATIVE JUTE PROCESSING BHAGIDARI MODEL THROUGH BIOMASS-GASSIFIER BASED DECENTRALIZED ELECTRICITY SYSTEM IN PURNEA CLUSTER OF THE STATE OF BIHAR, RURAL DEVELOPMENT PROJECTS INCLUDING SUSTAINABLE DEVELOPMENT PROJECTS.",,SCHEDULE VII (X),,83.98,,,,83.979,"BIHAR,ODISHA (DHENKANAL),UTTARAKHAND"
RECLTD,REC LTD.,"IMPLEMENTATION OF SOLAR PV SMART MINI GRIDS, INSTALLATION OF MICRO SOLAR GRID, SOLAR MICRO GRIDS, 861 NOS. OF LED BASED SOLAR STREET LIGHTING, 1600 NOS. OF LED BASED SOLAR STREET LIGHTING, SETTING UP OF 237 LED BASED SOLAR STREET LIGHTING SYSTEMS, ENSURING ENVIRONMENTAL SUSTAINABILITY, ECOLOGICAL BALANCE, PROTECTION OF FLORA AND FAUNA, ANIMAL WELFARE, AGRO FORESTRY, CONSERVATION OF NATURAL RESOURCES AND MAINTAINING QUALITY OF SOIL, AIR & WATER, INCLUDING CONTRIBUTION TO THE CLEAN GANGA FUND SET-UP BY THE CENTRAL GOVERNMENT FOR REJUVENATION OF RIVER GANGA",,SCHEDULE VII (IV),,212.01,,,,212.014,"ARUNACHAL PRADESH (DIBANG VALLEY,KURUNG KUMEY & LOHIT,LOWER DIBANG VALLEY,UPPERSIANG),ASSAM (SONITPUR & LAKHIMPUR),MADHYA PRADESH (ASHOK NAGAR,GUNA & SHIVPURI DIST.S),ODISHA (KORAPUT & MAYURBHANJ),RAJASTHAN (BHARATPUR,PRATAPGARH & UDAIPUR)"
RECLTD,REC LTD.,"JOB ORIENTED SKILL DEVELOPMENT/UPGRADATION TRAINING PROGRAMME, PROMOTING EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATIONAL SKILLS, ESPECIALLY AMONG CHILDREN, WOMEN, ELDERLY AND DIFFERENTLY-ABLED AND LIVEHOOD ENHANCEMENT PROJECTS.",,SCHEDULE VII (II),1061.17,546.58,,,,546.581,"BIHAR,CHHATTISGARH (DHAMTARI & RAIGARH,KORBA),HARYANA (SIRSA),MADHYA PRADESH (ASHOK NAGAR & SHIVPURI,BALAGHAT, MANDLA,BHOPAL,DHAR,KATNI,KATNI & DHAR),ODISHA,PUNJAB (FEROZEPUR & AMRITSAR,HOSHIARPUR),RAJASTHAN (BANSWARA, DUNGARPUR),TAMIL NADU (CUDDALORE & TIRUVANNAMALAI,NAGAPATTINAM),UTTAR PRADESH"
RECLTD,REC LTD.,"MOBILE MEDICAL UNIT WITH BASIC MEDICAL FACILITIES, AMBULANCE & PHYSIOTHERAPY EQUIPMENT FOR PHYSICALLY DISABLED, CORRECTIVE SURGERY AND DISTRIBUTING CALIPERS WITH CRUTCHES FOR POLIO DISABLED CHILDREN, SURGICAL MICROSCOPE AND PLANTECH OPERATION TABLE AT ICARE EYE HOSPITAL & POST GRADUATE INSTITUTE, CONSTRUCTION OF REHABILITATION CENTRE (AANCHAL), MOBILE MEDICAL UNIT TO IMPROVE PRIMARY HEALTH CARE SERVICES, DISTRIBUTION OF AIDS & APPLIANCES TO PERSON WITH DISABILITIES, CORRECTIVE SURGERY FOR POLIO DISABLED CHILDREN, IMPROVEMENT IN INFRASTRUCTURE FOR HOSTEL BLOCK, SUPPORT FOR CATARACT DIAGNOSIS AND SURGERIES OF 450 PEOPLE, UPGRADING INFRASTRUCTURE AND MEDICAL EQUIPMENTS, PROVIDING ARTIFICIAL LIMB TO PERSONS WITH DISABILITY ERADICATING HUNGER, POVERTY AND MALNUTRITION, PROMOTING PREVENTION HEALTH CARE AND SANITATION, INCLUDING CONTRIBUTION TO THE SWACHH BHARAT KOSH SET-UP BY THE CENTRAL GOVERNMENT FOR THE PROMOTION OF SANITATION, AND MAKING AVAILABLE SAFE DRINKING WATER.",,SCHEDULE VII (I),60.0,556.67,,,,556.675,"ASSAM,BIHAR,DELHI,JAMMU & KASHMIR,JHARKHAND,MADHYA PRADESH,ODISHA,RAJASTHAN (JAIPUR,UDAIPUR),TELANGANA (HYDERABAD),UTTAR PRADESH"
RECLTD,REC LTD.,"PARENTS PARTICIPATION IN CHILDREN EDUCATION, FREE RESIDENTIAL COACHING FOR PREPARING FOR ENTRANCE EXAMINATIONS FOR IIT/NIT AND OTHER LEADING ENGINEERING INSTITUTES, PROVIDING COMPUTERS, FURNITURE, SEWING MACHINES ETC., INFRASTRUCTURE SUPPORT IN SCHOOLS IN NAYAGARH DISTRICT, CONSTRUCTION OF 4 NOS. CLASSROOMS IN SCHOOL FOR POOR CHILDREN, SETTING UP OF 25 LIBRARIES IN GOVERNMENT SCHOOLS, SETTING UP OF 13 LIBRARIES IN GOVERNMENT SCHOOLS, SUPPORTING ONE YEAR RESIDENTIAL ACADEMIC PROGRAMME, PROVIDING EDUCATION IN ENGLISH MEDIUM IN 10 CLASS ROOMS IN GOVERNMENT SCHOOLS IN NORTH AND EAST DELHI, PADHO AUR BADHO - IMPROVING ACCESS, RETENTION AND LEARNING OUTCOMES , FURNITURE FOR GOVT. FISHERIES SCHOOL, KUZUTHURA, DEVELOPMENT WORKS IN VEERKHEDA INTER SCHOOL, BULANDSHAHAR, SUPPORTING 11-MONTH FREE RESIDENTIAL COACHING PROGRAMME LEADING TO SELECTION IN ENGINEERING EXAMINATIONS, SUPPORTING 11-MONTH FREE RESIDENTIAL COACHING PROGRAMME LEADING TO SELECTION IN ENGINEERING EXAMINATIONS, PARENTS PARTICIPATION IN CHILDREN EDUCATION, IMPROVEMENT IN CHILDREN’S LEARNING LEVELS PROMOTING EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS, ESPECIALLY AMONG CHILDREN WOMEN, ELDERLY AND DIFFERENTLY-ABLED AND LIVELIHOOD ENHANCEMENT PROJECTS",,SCHEDULE VII (II),189.53,417.0,,,,417.003,"ANDHRA PRADESH (GUNTUR),DELHI (NEW DELHI),JAMMU & KASHMIR (SRINAGAR),JHARKHAND (BOKARO),KERALA (KUZUTHURA),MADHYA PRADESH (JHABUA),MAHARASHTRA (KONDHWA & MOHAMMADWADI,PUNE),ODISHA (NAYAGARH),SIKKIM,TELANGANA (NALGONDA),UTTAR PRADESH (BASTI, EDKARN AMBAGAR,BULANDSHAHR,GONDA,MAHOBA,NOIDA),UTTARAKHAND"
RECLTD,REC LTD.,"PROMOTION OF SPORTS, SKILL DEVELOPMENT & LIVELIHOOD PROGRAMME FOR WOMEN, ESTABLISHMENT OF SKILL DEVELOPMENT WOMEN EMPOWERMENT CENTER AND PROVIDING 25 EMBROIDERY MACHINES, 1 COMPUTER AND FURNITURES, GARIMA-SOCIO-ECONOMIC EMPOWERMENT (NON-RESIDENTIAL) PROGRAMME, ESTABLISHMENT OF PRODUCTION AND MARKETING RESOURCE CENTRE FOR LIVELIHOOD SUPPORT, PROMOTING GENDER EQUALITY, EMPOWERING WOMEN, STTING UP HOMES AND HOSTELS FOR WOMEN AND ORPHAN, SETTING UP OLD AGE HOMES, DAY CARE CENTRES AND SUCH OTHER FACILITIES FOR SENIOR CITIZENS AND MEASURES FOR REDUCING INEQUALITY FACED BY SOCIALLY AND ECONOMICALLY BACKWARD GROUPS.",,"SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (VII)",53.02,82.1,,41.052,,41.052,"BIHAR (CHHAPRA),HARYANA,UTTAR PRADESH (SITAPUR & BARABANKI),WEST BENGAL (KOLKATA)"
RECLTD,REC LTD.,"RURAL DEVELOPMENT PROJECTS INCLUDING SUSTAINABLE DEVELOPMENTS PROJECTS, CONSTRUCTION OF CULVERT BETWEEN TWO VILLAGES ON NALA, MONITORING OF CULVERT BETWEEN DHARMANI & CHAMASRAN VILLAGES ON KANTHAIYA NALA (ADM. OVERHEAD), FARMER-CENTRIC INTEGRATED WATERSHED MANAGEMENT FOR IMPROVING RURAL LIVELIHOOD",,"SCHEDULE VII (II), SCHEDULE VII (X)",423.0,274.17,,,,274.167,"ANDHRA PRADESH (ANANTAPUR),TELANGANA (MAHABUBNAGAR),UTTAR PRADESH (SANT KABIR NAGAR)"
RECLTD,REC LTD.,"SAFE DRINKING WATER FACILITY, ERADICATING HUNGER, POVERTY AND MALNUTRITION, PROMOTING PREVENTION HEALTH CARE.",,SCHEDULE VII (I),249.6,38.9,,,,38.898,"ANDHRA PRADESH,PUNJAB,RAJASTHAN"
REFEX,REFEX INDUSTRIES LTD.,DONATIONS TO AN EDUCATIONAL INSTITUTION,,SCHEDULE VII (II),1.29,1.29,,0.645,,0.645,ALL STATES
RELCAPITAL,RELIANCE CAPITAL LTD.,ONCOLOGY CENTRES HEALTH CARE,,SCHEDULE VII (I),2500.0,1178.0,,,,1178.0,MAHARASHTRA
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,HEALTH OUTREACH PROGRAMME II - MOBILE MEDICAL UNITS FOR PRIMARY AND PREVENTIVE HEALTHCARE INCLUDING MEDICAL AND DIAGNOSTICS COSTS,,SCHEDULE VII (I),70.0,70.0,RELIANCE FOUNDATION,70.0,,,MAHARASHTRA (MUMBAI)
RELIANCE,RELIANCE INDUSTRIES LTD.,"COMMUNITY DEVELOPMENT, RURAL DEVELOPMENT PROJECTS",,SCHEDULE VII (X),45.0,36.0,RELIANCE FOUNDATION,18.0,,18.0,MADHYA PRADESH (SHADOL)
RELIANCE,RELIANCE INDUSTRIES LTD.,"COMMUNITY DEVELOPMENT-CSR AT MANUFACTURING, RURAL DEVELOPMENT PROJECTS",,SCHEDULE VII (X),290.0,188.0,,94.0,,94.0,"DADRA & NAGAR HAVELI AND DAMAN & DIU,GUJARAT,MADHYA PRADESH,MAHARASHTRA,PUNJAB,TAMIL NADU,UTTAR PRADESH"
RELIANCE,RELIANCE INDUSTRIES LTD.,DISASTER RELIEF RURAL DEVLOPMENT,,SCHEDULE VII (X),1964.0,707.0,RELIANCE FOUNDATION,353.5,,353.5,"JAMMU & KASHMIR,UTTARAKHAND"
RELIANCE,RELIANCE INDUSTRIES LTD.,"DISASTER RELIEF-CSR AT MANUFACTURING LOCATIONS, RURAL DEVELOPMENT PROJECTS",,SCHEDULE VII (X),84.0,79.0,,39.5,,39.5,ANDHRA PRADESH (EAST GODAVARI)
RELIANCE,RELIANCE INDUSTRIES LTD.,EDUCATION - DA SCHOLARSHIPS,,SCHEDULE VII (II),975.0,401.0,RELIANCE FOUNDATION,200.5,,200.5,ALL STATES
RELIANCE,RELIANCE INDUSTRIES LTD.,"EDUCATION - RELIANCE FOUNDATION JR. NBA PROGRAMME, TRAINING TO PROMOTE SPORTS",,"SCHEDULE VII (II), SCHEDULE VII (VII)",630.0,406.0,RELIANCE FOUNDATION,203.0,,203.0,"DELHI,KERALA,MAHARASHTRA,PUNJAB,TAMIL NADU (TAMIL NADU, CHENNAI),WEST BENGAL"
RELIANCE,RELIANCE INDUSTRIES LTD.,EDUCATION - RELIANCE UNIVERSITY,,SCHEDULE VII (II),150.0,135.0,RELIANCE FOUNDATION,67.5,,67.5,MAHARASHTRA (MUMBAI)
RELIANCE,RELIANCE INDUSTRIES LTD.,EDUCATION AND OTHER INITIATIVES,,SCHEDULE VII (II),170.0,168.0,RELIANCE FOUNDATION,84.0,,84.0,ALL STATES
RELIANCE,RELIANCE INDUSTRIES LTD.,EDUCATION-CSR AT MANUFACTURING LOCATIONS,,SCHEDULE VII (II),1201.0,1024.0,,512.0,,512.0,"GUJARAT,MADHYA PRADESH (SHAHDOL),MAHARASHTRA,PUNJAB,TAMIL NADU,UTTAR PRADESH"
RELIANCE,RELIANCE INDUSTRIES LTD.,ENVIRONMENT ENSURING ENVIROMENTAL SUSTAINABILITY,,SCHEDULE VII (IV),8537.0,11.0,RELIANCE FOUNDATION,5.5,,5.5,MAHARASHTRA (NASHIK)
RELIANCE,RELIANCE INDUSTRIES LTD.,HEALTH - AUTISM PROJECT,,SCHEDULE VII (I),150.0,150.0,RELIANCE FOUNDATION,75.0,,75.0,DELHI (NEW DELHI)
RELIANCE,RELIANCE INDUSTRIES LTD.,HEALTH - DRISHTI CORNEAL TRANSPLANTS AND OTHER ACTIVITIES FOR VISUALLY IMPAIRED,,SCHEDULE VII (I),286.0,128.0,RELIANCE FOUNDATION,64.0,,64.0,"ANDHRA PRADESH (ANANTHAPURAMU,CHITTOOR,EAST GODAVARI,GUNTUR,KADAPA,KRISHNA,KURNOOL,MACHILIPATNAM,NELLORE,PRAKASAM,SRIKAKULAM,VISAKHAPATNAM,VIZIANAGARAM,WEST GODAVARI),ASSAM (TINSUKIA),BIHAR (ARWAL,AURANGABAD,BEGU SARAI,BHAGALPUR,BUXAR,CHHAPRA,GAYA,GOPALGANJ,KISHANGANJ,MADHUBANI,NAWADA,PATNA,SAHARSA,SARAN,SITAMARHI),CHHATTISGARH (BALOD,BEMETARA,BILASPUR,DURG,KORIYA,RAIPUR,RAJNANDGAON,SIMGA),DELHI (BALJEET NAGAR,CENTRAL DELHI,EAST DELHI,NORTH DELHI,NORTH EAST DELHI,NORTH WEST DELHI,SOUTH DELHI,SOUTH WEST DELHI,WEST DELHI),GUJARAT (BHARUCH,NARMADA,SURAT,TAPI,VALSAD),HARYANA (BHIWANI,FARIDABAD,GURUGRAM,HISAR,JIND,KARNAL,KURUKSHETRA,PALWAL,PANIPAT,ROHTAK,SONEPAT,YAMUNA NAGAR),HIMACHAL PRADESH (BILASPUR,KANGRA,MANDI),JAMMU & KASHMIR (BANDIPORA,JAMMU,RAMBAN,SRINAGAR),JHARKHAND (DEOGARH,EAST SINGHBUM,GIRIDIH),KARNATAKA (BELAGAVI,BELLARY,BENGALURU,BIDAR,BIJAPUR,CHIKMAGALUR,DAVANAGERE,DHARWAD,GULBARGA,HAVERI,KOLAR,MYSURU,RAICHUR,YADGIRI),MADHYA PRADESH (BALAGHAT,BHOPAL,CHHINDWARA,DEWAS,GUNA,GWALIOR,HARDA,HOSHANGABAD,INDORE,KATNI,RAISEN,RAJGARH,SAUGOR,SEHORE,SHAJAPUR,SIDHI,UJJAIN,VIDISHA),MAHARASHTRA (AHMEDNAGAR,AKOLA,AMRAVATI,BHANDARA,BULDHANA,HINGOLI,JALGAON,KOLHAPUR,LATUR,MUMBAI,NAGPUR,NANDED,NANDURBAR,NASHIK,NAVI MUMBAI,OSMANABAD,PARBHANI,PUNE,SATARA,SOLAPUR,THANE,YAVATMAL),ODISHA (BARGARH,GANJAM,SAMBALPUR),PUNJAB (AMRITSAR,BATHINDA,FATEHGARH SAHIB,FEROZEPUR,GURDASPUR,HOSHIARPUR,JALANDHAR,KAPURTHALA,LUDHIANA,MOGA,MUKTSAR,PATIALA,ROPAR,SANGRUR,TARN TARAN),RAJASTHAN (ALWAR,BHARATPUR,CHITTORGARH,JAIPUR,JHUNJHUNU),TAMIL NADU (ARIYALUR,CHENNAI,CUDDALORE,DHARMAPURI,DINDIGUL,KANCHEEPURAM,KRISHNAGIRI,MADURAI,NAGAPATTINAM,NAMAKKAL,PATTUKKOTTAI,PERAMBALUR,PUDUKKOTTAI,RAMANATHAPURAM,SALEM,SIVAGANGA,THANJAVUR,THENI,TIRUCHIRAPPALLI,TIRUNELVELI,TIRUVALLUR,TRICHY,VELLORE,TELANGANA (ADILABAD,HYDERABAD,KARIMNAGAR,KHAMMAM,MAHBUBNAGAR,MEDAK,NALGONDA,NIZAMABAD,RANGAREDDY,SECUNDERABAD,WARANGAL),UTTAR PRADESH (AGRA,ALIGARH,AMROHA,AZAMGARH,BAGHPAT,BAREILLY,BIJNOR,BUDAUN,BULANDSHAHR,DEORIA,ETAH,GHAZIABAD,GONDA,HAPUR,HATHRAS,JAUNPUR,KASGANJ,MAINPURI,MATHURA,MEERUT,MURADABAD,MUZAFFAR NAGAR,NOIDA,PRATAPGARH,RAMPUR,SAHARANPUR,SHAHJAHANPUR,SHAMLI,S,UTTARAKHAND (DEHRADUN,GETHIA,NAINITAL),WEST BENGAL (BANKURA,BARDHAMAN,BURDWAN,HOWRAH,HUGLI,KOLKATA,MALDA,MURSHIDABAD,NADIA,NORTH 24 PARGANAS,PASCHIM MEDINIPUR,PURBA MEDINIPUR,SOUTH 24 PARGANAS)"
RELIANCE,RELIANCE INDUSTRIES LTD.,HEALTH - PARTNERSHIPS WITH NON-GOVERNMENT ORGANISATIONS,,SCHEDULE VII (I),580.0,554.0,RELIANCE FOUNDATION,277.0,,277.0,ALL STATES
