Location,Intelligent_Class
KASIPUR,Village
KASNA,Village
KASODA,Village
KASTURBA BALIKA VIDYALAYA,Town
KATHUWAS,Village
KATNI,District
KATOL DIST.,District
KATTAMURU,Village
KATUPALLI,Town
KAUSHAMBI,District
KAWARDHA,Town
KAWAS DIST.,District
KAYAMKULAM,Town
KAZIPALLY,Village
KAZIRANGA,Village
KEHRWARA TEHSILS,Town
KENDUJHAR,District
KEOJHAR,Town
KEONJHAR,District
KEONJHAR DIST.,District
KESINGA,Town
KGF,Town
KHALAPUR,Village
KHAMMAM,City
KHAMMAM DIST.,District
KHANDALA,Town
KHANDKE,Town
KHANDRA,Village
KHANDWA,District
KHANPUR,Village
KHANVEL,Village
KHAR,Town
KHARAGPRASAD,Town
KHARAGPUR,City
KHARDAH,Town
KHARDAHA,Town
KHARGHAR,Town
KHARGONE,District
KHARSAWAN,District
KHASRA NO 99,Village
KHATALWAD,Town
KHEDA,District
KHEDPA,Town
KHIJRABAD,Town
KHORDHA,District
KHUNTI,District
KHURDA,City
KHURDA DIST.,District
KHURDA DIST.S OF ODISHA,District
KHUSHKHERA,Village
KHWABGAH,Town
KINNAUR,District
KIRIBURU,Town
KISHANGANJ,District
KISHTWAR,Town
KIZHAKKENCHERY,Town
KOCHANGADI,Town
KOCHI,City
KODAKARA,Village
KODAKARA DIST.,District
KODAKARA PANCHAYAT,Village
KODERMA DIST.,District
KODIGEHALLI,City
KODIKANNAL,Town
KODLI,City
KOKRAJHAR,District
KOLAHAPUR,Town
KOLAR,District
KOLHAPUR,City
KOLKATA,City
KOLKATA DIST.,District
KOLLAM,City
KONA,Town
KONDAGAON,Town
KONDHWA,Town
KONKANI PADA,Village
KOPPAL,District
KOPPAL CHAMARAJANAGAR,Town
KORAPUT,District
KORATAKAGERE,Town
KORBA,District
KORIYA,District
KOTA,City
KOTE,City
KOTESHWAR,Village
KOTHAGUDEM,Town
KOTHAGUDEM SCHOOL OF MINES,Town
KOTHLAPUR,Village
KOTHUR MANDAL,District
KOTTAYAM,District
KOTTAYAM DIST.,District
KOYNA,Town
KOYYAGUDEM,Village
KOZHIKODE,City
KOZHIKODE DIST.,District
KR PURAM,Town
KRISHNA,Town
KRISHNAGIRI,District
KRISHNAGIRI DIST.,District
KRISHNAPUR DIST.,District
KULDIHA,Village
KULGAM,Town
KULLU,Town
KULLU DIST.,District
KUMARAKOM,Village
KUMBHALGARH,Town
KUMTA TEHSIL OF UTTARA KANNADA,Town
KUNDLI,City
KUNNATHUR,District
KURKUMBH,Town
KURNOOL,City
KURUKSHETRA,City
KURUMBAPALAYAM,Village
KURUNG KUMEY,District
KUSHINAGAR,Town
KUTCH,District
KUTCH DIST.,District
KUTEHR,Village
KUTESHWAR,Town
KUTHAMBAKKAM,Village
KUZUTHURA,Town
KYASARAM,Village
KYMORE,Town
LACHHMANGARH,Town
LAHANDA,Village
LAHANDA OF BIRIKALA G.P.,Town
LAHAUL,District
LAKHIMPUR,District
LAKHIMPUR KHERI,District
LAKSHMESHWARA,Town
LANGFORD GARDEN,Town
LATEHAR,District
LATUR,District
LEH,City
LILAPUR,Village
LIMDA,City
LOCAL,Town
LOCAL AREA,Town
LOCAL AREA 5 GPS.- ANSEIKALA,Town
LOCAL AREA ANSEIKALA,Town
LOCAL AREA BENGALURU,Town
LOCAL AREA BHARUCH,Town
LOCAL AREA BHILWARA,Town
LOCAL AREA BHIWADI,Village
LOCAL AREA CHC-BSUDEVPUR,Town
LOCAL AREA CHENDIPADA BLOCK,Village
